en_US	account	account_id
en_US	address	street_address
en_US	age	age
en_US	bank_card	creditcard
en_US	bic	bic
en_US	birth	birth_date
en_US	birthday	birth_date
en_US	cartebancaire	creditcard
en_US	carte_credit	creditcard
en_US	cartecredit	creditcard
en_US	city	city
en_US	civility	civility
en_US	client_code	account_id
en_US	client_id	account_id
en_US	code_client	account_id
en_US	company	company_name
en_US	country	country
en_US	credit_card	creditcard
en_US	creditcard	creditcard
en_US	date_birth	birth_date
en_US	duns	duns
en_US	email_addr	email
en_US	email_address	email
en_US	email	email
en_US	facebook	account_id
en_US	facebook_id	account_id
en_US	fax	fax_number
en_US	first_name	firstname
en_US	firstname	firstname
en_US	gender	gender
en_US	given_name	firstname
en_US	google	account_id
en_US	google_id	account_id
en_US	iban	iban
en_US	id_company	account_id
en_US	identifier	account_id
en_US	insurance	health_plan_id
en_US	insurance_id	health_plan_id
en_US	ip_address	ip_address
en_US	ip_addr	ip_address
en_US	job	job
en_US	lang	lang
en_US	language	lang
en_US	last_name	name
en_US	ldap_id	account_id
en_US	ldap_sid	account_id
en_US	licence_plate	licence_plate
en_US	linkedin	account_id
en_US	linkedin_id	account_id
en_US	login	account_id
en_US	logo	logo
en_US	mac_address	mac_address
en_US	macaddress	mac_address
en_US	medical_record	medical_record_id
en_US	mobile	phone_number
en_US	name	name
en_US	openid	account_id
en_US	passwd	password
en_US	password	password
en_US	patient_id	medical_record_id
en_US	phone	phone_number
en_US	photo	photo
en_US	postal_code	zipcode
en_US	postcode	zipcode
en_US	signature	signature
en_US	skype_id	account_id
en_US	social_security	social_security_id
en_US	ssid	social_security_id
en_US	supplier_code	account_id
en_US	telephone_mobile	phone_number
en_US	telephone_personal	phone_number
en_US	twitter_id	account_id
en_US	uid	account_id
en_US	url	url
en_US	username	account_id
en_US	vat_intra	vat
en_US	vat	vat
en_US	zipcode	zipcode
